dt,road_id,flow,avg_speed,density,weather
2026-09-02 00:00,R001,164,42.3,0.32,阴
2026-09-02 00:00,R002,150,47.0,0.29,阴
2026-09-02 00:00,R003,174,36.8,0.33,晴
2026-09-02 01:00,R001,276,34.4,0.53,晴
2026-09-02 01:00,R002,228,35.1,0.44,晴
2026-09-02 01:00,R003,170,42.8,0.33,晴
2026-09-02 02:00,R001,199,35.2,0.38,晴
2026-09-02 02:00,R002,76,52.7,0.15,晴
2026-09-02 02:00,R003,204,36.4,0.39,晴
2026-09-02 03:00,R001,72,51.3,0.14,阴
2026-09-02 03:00,R002,128,42.4,0.25,晴
2026-09-02 03:00,R003,123,49.8,0.24,阴
2026-09-02 04:00,R001,148,42.0,0.28,晴
2026-09-02 04:00,R002,193,39.8,0.37,阴
2026-09-02 04:00,R003,187,38.2,0.36,晴
2026-09-02 05:00,R001,163,41.2,0.31,晴
2026-09-02 05:00,R002,161,41.9,0.31,晴
2026-09-02 05:00,R003,81,51.0,0.16,阴
2026-09-02 06:00,R001,151,45.1,0.29,阴
2026-09-02 06:00,R002,194,40.3,0.37,阴
2026-09-02 06:00,R003,69,48.6,0.13,晴
2026-09-02 07:00,R001,405,19.7,0.78,晴
2026-09-02 07:00,R002,378,25.3,0.73,晴
2026-09-02 07:00,R003,342,27.7,0.66,晴
2026-09-02 08:00,R001,468,16.2,0.9,阴
2026-09-02 08:00,R002,433,18.9,0.83,晴
2026-09-02 08:00,R003,401,21.5,0.77,晴
2026-09-02 09:00,R001,472,12.9,0.91,晴
2026-09-02 09:00,R002,411,22.8,0.79,阴
2026-09-02 09:00,R003,406,18.5,0.78,小雨
2026-09-02 10:00,R001,98,46.3,0.19,阴
2026-09-02 10:00,R002,134,46.6,0.26,晴
2026-09-02 10:00,R003,143,47.3,0.28,小雨
2026-09-02 11:00,R001,123,44.2,0.24,阴
2026-09-02 11:00,R002,157,43.7,0.3,小雨
2026-09-02 11:00,R003,131,42.9,0.25,阴
2026-09-02 12:00,R001,149,47.0,0.29,晴
2026-09-02 12:00,R002,180,41.2,0.35,晴
2026-09-02 12:00,R003,180,40.5,0.35,晴
2026-09-02 13:00,R001,132,42.8,0.25,小雨
2026-09-02 13:00,R002,98,48.0,0.19,阴
2026-09-02 13:00,R003,163,41.5,0.31,小雨
2026-09-02 14:00,R001,186,38.1,0.36,晴
2026-09-02 14:00,R002,132,43.4,0.25,晴
2026-09-02 14:00,R003,182,40.3,0.35,晴
2026-09-02 15:00,R001,169,40.1,0.33,晴
2026-09-02 15:00,R002,133,42.3,0.26,阴
2026-09-02 15:00,R003,176,39.0,0.34,阴
2026-09-02 16:00,R001,149,38.0,0.29,晴
2026-09-02 16:00,R002,213,33.1,0.41,晴
2026-09-02 16:00,R003,155,41.8,0.3,小雨
2026-09-02 17:00,R001,474,13.9,0.91,阴
2026-09-02 17:00,R002,442,14.4,0.85,晴
2026-09-02 17:00,R003,413,24.1,0.79,晴
2026-09-02 18:00,R001,412,21.0,0.79,阴
2026-09-02 18:00,R002,431,22.7,0.83,阴
2026-09-02 18:00,R003,381,26.3,0.73,晴
2026-09-02 19:00,R001,428,22.2,0.82,阴
2026-09-02 19:00,R002,386,26.4,0.74,晴
2026-09-02 19:00,R003,395,24.0,0.76,小雨
2026-09-02 20:00,R001,193,38.6,0.37,晴
2026-09-02 20:00,R002,219,40.3,0.42,晴
2026-09-02 20:00,R003,62,47.1,0.12,晴
2026-09-02 21:00,R001,179,41.4,0.34,小雨
2026-09-02 21:00,R002,158,39.7,0.3,阴
2026-09-02 21:00,R003,206,40.7,0.4,晴
2026-09-02 22:00,R001,148,45.8,0.28,晴
2026-09-02 22:00,R002,87,47.3,0.17,小雨
2026-09-02 22:00,R003,139,40.2,0.27,小雨
2026-09-02 23:00,R001,162,43.5,0.31,小雨
2026-09-02 23:00,R002,192,37.7,0.37,小雨
2026-09-02 23:00,R003,182,37.2,0.35,晴
2026-09-03 00:00,R001,98,46.7,0.19,晴
2026-09-03 00:00,R002,126,45.5,0.24,晴
2026-09-03 00:00,R003,168,43.8,0.32,阴
2026-09-03 01:00,R001,116,41.5,0.22,阴
2026-09-03 01:00,R002,117,44.4,0.23,晴
2026-09-03 01:00,R003,142,44.5,0.27,阴
2026-09-03 02:00,R001,125,43.5,0.24,阴
2026-09-03 02:00,R002,127,44.9,0.24,阴
2026-09-03 02:00,R003,174,35.6,0.33,小雨
2026-09-03 03:00,R001,157,42.7,0.3,阴
2026-09-03 03:00,R002,124,42.3,0.24,晴
2026-09-03 03:00,R003,174,37.5,0.33,小雨
2026-09-03 04:00,R001,126,47.9,0.24,晴
2026-09-03 04:00,R002,175,40.6,0.34,阴
2026-09-03 04:00,R003,104,44.1,0.2,阴
2026-09-03 05:00,R001,107,47.5,0.21,晴
2026-09-03 05:00,R002,143,41.2,0.28,阴
2026-09-03 05:00,R003,151,45.3,0.29,晴
2026-09-03 06:00,R001,204,35.5,0.39,晴
2026-09-03 06:00,R002,154,40.8,0.3,小雨
2026-09-03 06:00,R003,138,43.4,0.27,晴
2026-09-03 07:00,R001,435,18.2,0.84,晴
2026-09-03 07:00,R002,436,15.9,0.84,阴
2026-09-03 07:00,R003,349,23.2,0.67,阴
2026-09-03 08:00,R001,377,21.5,0.72,阴
2026-09-03 08:00,R002,351,27.7,0.68,阴
2026-09-03 08:00,R003,466,14.2,0.9,阴
2026-09-03 09:00,R001,364,25.7,0.7,小雨
2026-09-03 09:00,R002,409,24.3,0.79,阴
2026-09-03 09:00,R003,400,20.5,0.77,晴
2026-09-03 10:00,R001,144,41.6,0.28,晴
2026-09-03 10:00,R002,131,46.3,0.25,晴
2026-09-03 10:00,R003,170,42.4,0.33,晴
2026-09-03 11:00,R001,146,42.1,0.28,阴
2026-09-03 11:00,R002,130,46.1,0.25,晴
2026-09-03 11:00,R003,159,43.8,0.31,阴
2026-09-03 12:00,R001,156,41.9,0.3,阴
2026-09-03 12:00,R002,147,42.9,0.28,晴
2026-09-03 12:00,R003,139,45.3,0.27,阴
2026-09-03 13:00,R001,94,46.4,0.18,阴
2026-09-03 13:00,R002,182,38.4,0.35,晴
2026-09-03 13:00,R003,142,43.4,0.27,晴
2026-09-03 14:00,R001,119,42.0,0.23,小雨
2026-09-03 14:00,R002,169,42.8,0.33,晴
2026-09-03 14:00,R003,192,38.7,0.37,阴
2026-09-03 15:00,R001,106,44.6,0.2,晴
2026-09-03 15:00,R002,138,42.7,0.27,阴
2026-09-03 15:00,R003,161,43.0,0.31,晴
2026-09-03 16:00,R001,157,43.6,0.3,阴
2026-09-03 16:00,R002,134,48.7,0.26,阴
2026-09-03 16:00,R003,149,43.4,0.29,晴
2026-09-03 17:00,R001,419,19.4,0.81,晴
2026-09-03 17:00,R002,422,20.6,0.81,小雨
2026-09-03 17:00,R003,428,19.5,0.82,晴
2026-09-03 18:00,R001,422,20.2,0.81,晴
2026-09-03 18:00,R002,422,22.1,0.81,晴
2026-09-03 18:00,R003,397,21.4,0.76,小雨
2026-09-03 19:00,R001,418,22.1,0.8,阴
2026-09-03 19:00,R002,374,21.8,0.72,晴
2026-09-03 19:00,R003,423,18.6,0.81,晴
2026-09-03 20:00,R001,156,42.3,0.3,晴
2026-09-03 20:00,R002,82,46.2,0.16,阴
2026-09-03 20:00,R003,105,48.2,0.2,晴
2026-09-03 21:00,R001,94,45.1,0.18,晴
2026-09-03 21:00,R002,198,40.6,0.38,小雨
2026-09-03 21:00,R003,135,43.2,0.26,阴
2026-09-03 22:00,R001,156,40.2,0.3,阴
2026-09-03 22:00,R002,143,42.4,0.28,小雨
2026-09-03 22:00,R003,113,48.9,0.22,阴
2026-09-03 23:00,R001,220,39.8,0.42,小雨
2026-09-03 23:00,R002,180,38.6,0.35,晴
2026-09-03 23:00,R003,97,48.2,0.19,小雨
2026-09-04 00:00,R001,141,46.9,0.27,阴
2026-09-04 00:00,R002,156,39.8,0.3,小雨
2026-09-04 00:00,R003,124,43.7,0.24,晴
2026-09-04 01:00,R001,157,41.2,0.3,阴
2026-09-04 01:00,R002,151,44.7,0.29,阴
2026-09-04 01:00,R003,134,42.3,0.26,阴
2026-09-04 02:00,R001,163,40.4,0.31,晴
2026-09-04 02:00,R002,133,45.1,0.26,晴
2026-09-04 02:00,R003,189,37.1,0.36,晴
2026-09-04 03:00,R001,110,45.0,0.21,晴
2026-09-04 03:00,R002,197,40.2,0.38,阴
2026-09-04 03:00,R003,125,44.1,0.24,阴
2026-09-04 04:00,R001,125,42.7,0.24,晴
2026-09-04 04:00,R002,170,41.6,0.33,小雨
2026-09-04 04:00,R003,152,45.3,0.29,晴
2026-09-04 05:00,R001,107,46.5,0.21,阴
2026-09-04 05:00,R002,194,38.8,0.37,晴
2026-09-04 05:00,R003,141,41.7,0.27,晴
2026-09-04 06:00,R001,156,45.2,0.3,晴
2026-09-04 06:00,R002,181,41.6,0.35,小雨
2026-09-04 06:00,R003,159,43.0,0.31,阴
2026-09-04 07:00,R001,412,23.3,0.79,阴
2026-09-04 07:00,R002,339,23.5,0.65,晴
2026-09-04 07:00,R003,410,22.6,0.79,晴
2026-09-04 08:00,R001,463,16.6,0.89,晴
2026-09-04 08:00,R002,431,19.3,0.83,晴
2026-09-04 08:00,R003,414,19.5,0.8,阴
2026-09-04 09:00,R001,424,19.9,0.82,晴
2026-09-04 09:00,R002,382,23.6,0.73,晴
2026-09-04 09:00,R003,446,17.5,0.86,阴
2026-09-04 10:00,R001,159,42.2,0.31,阴
2026-09-04 10:00,R002,194,40.1,0.37,晴
2026-09-04 10:00,R003,186,42.5,0.36,晴
2026-09-04 11:00,R001,172,41.4,0.33,阴
2026-09-04 11:00,R002,154,39.4,0.3,阴
2026-09-04 11:00,R003,156,44.4,0.3,阴
2026-09-04 12:00,R001,174,39.6,0.33,阴
2026-09-04 12:00,R002,179,40.0,0.34,阴
2026-09-04 12:00,R003,232,37.5,0.45,晴
2026-09-04 13:00,R001,172,40.2,0.33,晴
2026-09-04 13:00,R002,148,43.5,0.28,晴
2026-09-04 13:00,R003,156,42.7,0.3,晴
2026-09-04 14:00,R001,105,47.9,0.2,阴
2026-09-04 14:00,R002,143,44.5,0.28,小雨
2026-09-04 14:00,R003,135,47.6,0.26,晴
2026-09-04 15:00,R001,119,40.9,0.23,小雨
2026-09-04 15:00,R002,96,45.1,0.18,晴
2026-09-04 15:00,R003,110,47.0,0.21,小雨
2026-09-04 16:00,R001,166,42.4,0.32,晴
2026-09-04 16:00,R002,168,41.5,0.32,晴
2026-09-04 16:00,R003,96,44.9,0.18,晴
2026-09-04 17:00,R001,383,23.9,0.74,晴
2026-09-04 17:00,R002,394,17.6,0.76,阴
2026-09-04 17:00,R003,383,22.5,0.74,阴
2026-09-04 18:00,R001,456,17.5,0.88,晴
2026-09-04 18:00,R002,413,20.3,0.79,晴
2026-09-04 18:00,R003,484,13.8,0.93,阴
2026-09-04 19:00,R001,413,20.4,0.79,小雨
2026-09-04 19:00,R002,439,16.1,0.84,晴
2026-09-04 19:00,R003,370,24.7,0.71,晴
2026-09-04 20:00,R001,169,43.3,0.33,小雨
2026-09-04 20:00,R002,186,34.7,0.36,阴
2026-09-04 20:00,R003,131,45.6,0.25,小雨
2026-09-04 21:00,R001,166,41.9,0.32,阴
2026-09-04 21:00,R002,139,41.9,0.27,阴
2026-09-04 21:00,R003,167,38.8,0.32,阴
2026-09-04 22:00,R001,172,41.5,0.33,晴
2026-09-04 22:00,R002,184,39.3,0.35,阴
2026-09-04 22:00,R003,150,42.4,0.29,阴
2026-09-04 23:00,R001,138,43.7,0.27,阴
2026-09-04 23:00,R002,111,48.3,0.21,小雨
2026-09-04 23:00,R003,139,43.6,0.27,晴
2026-09-05 00:00,R001,73,47.5,0.14,阴
2026-09-05 00:00,R002,179,38.5,0.34,晴
2026-09-05 00:00,R003,197,38.1,0.38,晴
2026-09-05 01:00,R001,142,41.5,0.27,晴
2026-09-05 01:00,R002,135,43.5,0.26,晴
2026-09-05 01:00,R003,133,44.2,0.26,晴
2026-09-05 02:00,R001,94,47.2,0.18,阴
2026-09-05 02:00,R002,139,41.4,0.27,阴
2026-09-05 02:00,R003,175,40.2,0.34,阴
2026-09-05 03:00,R001,163,42.4,0.31,阴
2026-09-05 03:00,R002,78,48.3,0.15,晴
2026-09-05 03:00,R003,139,46.9,0.27,阴
2026-09-05 04:00,R001,117,48.2,0.23,晴
2026-09-05 04:00,R002,162,40.0,0.31,晴
2026-09-05 04:00,R003,174,38.3,0.33,小雨
2026-09-05 05:00,R001,130,44.2,0.25,阴
2026-09-05 05:00,R002,118,45.3,0.23,阴
2026-09-05 05:00,R003,91,50.7,0.17,晴
2026-09-05 06:00,R001,175,40.2,0.34,阴
2026-09-05 06:00,R002,156,45.4,0.3,晴
2026-09-05 06:00,R003,133,46.0,0.26,阴
2026-09-05 07:00,R001,381,25.2,0.73,小雨
2026-09-05 07:00,R002,460,16.4,0.88,晴
2026-09-05 07:00,R003,483,18.4,0.93,晴
2026-09-05 08:00,R001,468,13.0,0.9,阴
2026-09-05 08:00,R002,482,17.4,0.93,晴
2026-09-05 08:00,R003,413,18.6,0.79,小雨
2026-09-05 09:00,R001,433,18.8,0.83,晴
2026-09-05 09:00,R002,391,25.0,0.75,小雨
2026-09-05 09:00,R003,447,18.6,0.86,小雨
2026-09-05 10:00,R001,171,39.2,0.33,晴
2026-09-05 10:00,R002,98,43.8,0.19,阴
2026-09-05 10:00,R003,156,41.6,0.3,晴
2026-09-05 11:00,R001,155,45.1,0.3,晴
2026-09-05 11:00,R002,208,37.6,0.4,阴
2026-09-05 11:00,R003,208,37.2,0.4,小雨
2026-09-05 12:00,R001,176,38.8,0.34,小雨
2026-09-05 12:00,R002,147,43.2,0.28,晴
2026-09-05 12:00,R003,158,40.2,0.3,晴
2026-09-05 13:00,R001,126,45.1,0.24,阴
2026-09-05 13:00,R002,93,45.8,0.18,晴
2026-09-05 13:00,R003,171,43.2,0.33,阴
2026-09-05 14:00,R001,131,43.1,0.25,阴
2026-09-05 14:00,R002,174,42.2,0.33,晴
2026-09-05 14:00,R003,99,47.5,0.19,阴
2026-09-05 15:00,R001,192,37.2,0.37,晴
2026-09-05 15:00,R002,225,38.4,0.43,阴
2026-09-05 15:00,R003,122,49.7,0.23,小雨
2026-09-05 16:00,R001,149,46.4,0.29,晴
2026-09-05 16:00,R002,218,36.8,0.42,晴
2026-09-05 16:00,R003,153,44.8,0.29,阴
2026-09-05 17:00,R001,404,24.3,0.78,晴
2026-09-05 17:00,R002,470,15.4,0.9,晴
2026-09-05 17:00,R003,489,14.5,0.94,小雨
2026-09-05 18:00,R001,495,13.0,0.95,小雨
2026-09-05 18:00,R002,344,26.4,0.66,晴
2026-09-05 18:00,R003,424,18.2,0.82,晴
2026-09-05 19:00,R001,424,20.9,0.82,晴
2026-09-05 19:00,R002,395,19.2,0.76,小雨
2026-09-05 19:00,R003,412,19.7,0.79,晴
2026-09-05 20:00,R001,191,37.4,0.37,晴
2026-09-05 20:00,R002,152,41.8,0.29,晴
2026-09-05 20:00,R003,148,41.8,0.28,晴
2026-09-05 21:00,R001,133,45.8,0.26,晴
2026-09-05 21:00,R002,179,41.9,0.34,晴
2026-09-05 21:00,R003,74,48.0,0.14,晴
2026-09-05 22:00,R001,147,46.5,0.28,阴
2026-09-05 22:00,R002,178,39.8,0.34,晴
2026-09-05 22:00,R003,163,39.3,0.31,晴
2026-09-05 23:00,R001,207,41.8,0.4,小雨
2026-09-05 23:00,R002,134,38.3,0.26,阴
2026-09-05 23:00,R003,108,48.6,0.21,晴
2026-09-06 00:00,R001,148,43.7,0.28,晴
2026-09-06 00:00,R002,125,41.9,0.24,阴
2026-09-06 00:00,R003,113,47.5,0.22,晴
2026-09-06 01:00,R001,169,41.8,0.33,晴
2026-09-06 01:00,R002,88,44.4,0.17,晴
2026-09-06 01:00,R003,171,40.0,0.33,晴
2026-09-06 02:00,R001,124,43.0,0.24,小雨
2026-09-06 02:00,R002,138,45.4,0.27,晴
2026-09-06 02:00,R003,159,41.9,0.31,阴
2026-09-06 03:00,R001,169,41.9,0.33,阴
2026-09-06 03:00,R002,175,42.1,0.34,小雨
2026-09-06 03:00,R003,201,37.3,0.39,阴
2026-09-06 04:00,R001,99,48.4,0.19,晴
2026-09-06 04:00,R002,188,37.4,0.36,阴
2026-09-06 04:00,R003,88,44.5,0.17,晴
2026-09-06 05:00,R001,182,40.2,0.35,阴
2026-09-06 05:00,R002,125,45.1,0.24,晴
2026-09-06 05:00,R003,193,40.7,0.37,阴
2026-09-06 06:00,R001,191,37.4,0.37,晴
2026-09-06 06:00,R002,131,44.9,0.25,晴
2026-09-06 06:00,R003,211,36.2,0.41,晴
2026-09-06 07:00,R001,393,19.8,0.76,阴
2026-09-06 07:00,R002,431,19.0,0.83,晴
2026-09-06 07:00,R003,420,21.0,0.81,阴
2026-09-06 08:00,R001,438,22.1,0.84,阴
2026-09-06 08:00,R002,426,20.8,0.82,晴
2026-09-06 08:00,R003,410,21.8,0.79,阴
2026-09-06 09:00,R001,489,14.3,0.94,晴
2026-09-06 09:00,R002,463,16.2,0.89,晴
2026-09-06 09:00,R003,474,18.1,0.91,晴
2026-09-06 10:00,R001,211,37.7,0.41,晴
2026-09-06 10:00,R002,144,42.8,0.28,晴
2026-09-06 10:00,R003,204,39.1,0.39,阴
2026-09-06 11:00,R001,159,42.2,0.31,阴
2026-09-06 11:00,R002,157,39.6,0.3,晴
2026-09-06 11:00,R003,126,44.9,0.24,阴
2026-09-06 12:00,R001,208,38.6,0.4,小雨
2026-09-06 12:00,R002,111,45.5,0.21,晴
2026-09-06 12:00,R003,187,40.3,0.36,阴
2026-09-06 13:00,R001,135,44.2,0.26,小雨
2026-09-06 13:00,R002,161,41.2,0.31,晴
2026-09-06 13:00,R003,141,44.3,0.27,晴
2026-09-06 14:00,R001,142,46.0,0.27,阴
2026-09-06 14:00,R002,141,41.3,0.27,阴
2026-09-06 14:00,R003,112,45.2,0.22,阴
2026-09-06 15:00,R001,93,48.8,0.18,晴
2026-09-06 15:00,R002,180,37.7,0.35,阴
2026-09-06 15:00,R003,145,41.5,0.28,阴
2026-09-06 16:00,R001,177,38.9,0.34,阴
2026-09-06 16:00,R002,104,48.3,0.2,晴
2026-09-06 16:00,R003,103,47.7,0.2,晴
2026-09-06 17:00,R001,471,14.9,0.91,阴
2026-09-06 17:00,R002,480,16.5,0.92,晴
2026-09-06 17:00,R003,367,25.8,0.71,晴
2026-09-06 18:00,R001,436,16.3,0.84,阴
2026-09-06 18:00,R002,463,15.7,0.89,小雨
2026-09-06 18:00,R003,443,19.4,0.85,小雨
2026-09-06 19:00,R001,454,16.4,0.87,小雨
2026-09-06 19:00,R002,447,18.3,0.86,晴
2026-09-06 19:00,R003,392,24.4,0.75,晴
2026-09-06 20:00,R001,172,42.6,0.33,晴
2026-09-06 20:00,R002,123,46.8,0.24,晴
2026-09-06 20:00,R003,153,39.6,0.29,阴
2026-09-06 21:00,R001,203,33.6,0.39,阴
2026-09-06 21:00,R002,112,43.8,0.22,晴
2026-09-06 21:00,R003,110,44.0,0.21,小雨
2026-09-06 22:00,R001,147,44.0,0.28,小雨
2026-09-06 22:00,R002,156,37.5,0.3,晴
2026-09-06 22:00,R003,220,36.8,0.42,阴
2026-09-06 23:00,R001,142,42.5,0.27,小雨
2026-09-06 23:00,R002,144,42.6,0.28,小雨
2026-09-06 23:00,R003,116,45.0,0.22,阴
2026-09-07 00:00,R001,131,45.7,0.25,小雨
2026-09-07 00:00,R002,112,49.9,0.22,阴
2026-09-07 00:00,R003,159,42.1,0.31,晴
2026-09-07 01:00,R001,150,41.9,0.29,晴
2026-09-07 01:00,R002,142,46.1,0.27,阴
2026-09-07 01:00,R003,121,43.6,0.23,晴
2026-09-07 02:00,R001,150,41.5,0.29,阴
2026-09-07 02:00,R002,190,41.1,0.37,阴
2026-09-07 02:00,R003,98,47.1,0.19,晴
2026-09-07 03:00,R001,168,46.7,0.32,晴
2026-09-07 03:00,R002,179,40.2,0.34,晴
2026-09-07 03:00,R003,156,38.6,0.3,晴
2026-09-07 04:00,R001,147,43.0,0.28,小雨
2026-09-07 04:00,R002,133,44.4,0.26,阴
2026-09-07 04:00,R003,138,41.2,0.27,小雨
2026-09-07 05:00,R001,154,41.4,0.3,小雨
2026-09-07 05:00,R002,156,42.1,0.3,晴
2026-09-07 05:00,R003,179,38.1,0.34,阴
2026-09-07 06:00,R001,108,47.6,0.21,晴
2026-09-07 06:00,R002,155,42.4,0.3,晴
2026-09-07 06:00,R003,190,43.5,0.37,阴
2026-09-07 07:00,R001,458,12.9,0.88,晴
2026-09-07 07:00,R002,404,21.7,0.78,阴
2026-09-07 07:00,R003,383,21.8,0.74,阴
2026-09-07 08:00,R001,459,14.3,0.88,晴
2026-09-07 08:00,R002,409,22.0,0.79,阴
2026-09-07 08:00,R003,391,20.6,0.75,晴
2026-09-07 09:00,R001,446,16.8,0.86,小雨
2026-09-07 09:00,R002,468,15.3,0.9,晴
2026-09-07 09:00,R003,421,21.0,0.81,晴
2026-09-07 10:00,R001,159,42.8,0.31,小雨
2026-09-07 10:00,R002,226,38.4,0.43,小雨
2026-09-07 10:00,R003,91,47.5,0.17,阴
2026-09-07 11:00,R001,74,50.3,0.14,阴
2026-09-07 11:00,R002,86,43.2,0.17,晴
2026-09-07 11:00,R003,182,37.7,0.35,晴
2026-09-07 12:00,R001,113,46.4,0.22,小雨
2026-09-07 12:00,R002,140,44.8,0.27,晴
2026-09-07 12:00,R003,141,43.9,0.27,阴
2026-09-07 13:00,R001,138,43.7,0.27,晴
2026-09-07 13:00,R002,211,39.3,0.41,晴
2026-09-07 13:00,R003,118,43.6,0.23,阴
2026-09-07 14:00,R001,73,46.5,0.14,小雨
2026-09-07 14:00,R002,180,38.7,0.35,阴
2026-09-07 14:00,R003,132,42.6,0.25,阴
2026-09-07 15:00,R001,61,49.9,0.12,阴
2026-09-07 15:00,R002,209,40.2,0.4,晴
2026-09-07 15:00,R003,164,41.2,0.32,小雨
2026-09-07 16:00,R001,162,42.8,0.31,阴
2026-09-07 16:00,R002,192,38.9,0.37,阴
2026-09-07 16:00,R003,168,42.6,0.32,晴
2026-09-07 17:00,R001,374,26.1,0.72,小雨
2026-09-07 17:00,R002,369,22.2,0.71,小雨
2026-09-07 17:00,R003,404,22.9,0.78,阴
2026-09-07 18:00,R001,407,19.6,0.78,小雨
2026-09-07 18:00,R002,473,11.4,0.91,阴
2026-09-07 18:00,R003,442,16.9,0.85,阴
2026-09-07 19:00,R001,379,19.6,0.73,晴
2026-09-07 19:00,R002,473,15.0,0.91,阴
2026-09-07 19:00,R003,457,19.2,0.88,晴
2026-09-07 20:00,R001,137,45.4,0.26,晴
2026-09-07 20:00,R002,170,38.1,0.33,小雨
2026-09-07 20:00,R003,227,36.0,0.44,晴
2026-09-07 21:00,R001,127,42.8,0.24,晴
2026-09-07 21:00,R002,179,40.3,0.34,晴
2026-09-07 21:00,R003,117,48.1,0.23,晴
2026-09-07 22:00,R001,152,43.4,0.29,晴
2026-09-07 22:00,R002,132,47.4,0.25,阴
2026-09-07 22:00,R003,158,38.1,0.3,阴
2026-09-07 23:00,R001,180,40.4,0.35,阴
2026-09-07 23:00,R002,173,42.0,0.33,晴
2026-09-07 23:00,R003,172,43.5,0.33,阴
2026-09-01 00:00,R001,82,68.0,0.05,晴
2026-09-01 00:00,R002,85,75.2,0.05,晴
2026-09-01 00:00,R003,89,68.7,0.05,晴
2026-09-01 00:00,R004,90,70.0,0.05,晴
2026-09-01 00:00,R005,99,69.8,0.05,晴
2026-09-01 00:00,R006,95,70.0,0.05,晴
2026-09-01 00:00,R007,114,67.9,0.05,晴
2026-09-01 00:00,R008,65,71.2,0.05,晴
2026-09-01 01:00,R001,87,62.7,0.11,晴
